#miRNA	read_count	precursor	total	seq	seq(norm)
gga-let-7a-5p	542276.00	gga-let-7a-1	542276.00	542276.00	70893.98
gga-let-7j-5p	542276.00	gga-let-7a-1	542276.00	542276.00	70893.98
gga-let-7a-5p	539445.00	gga-let-7a-2	539445.00	539445.00	70523.87
gga-let-7j-5p	539445.00	gga-let-7a-2	539445.00	539445.00	70523.87
gga-let-7a-5p	544519.00	gga-let-7a-3	544519.00	544519.00	71187.22
gga-let-7j-5p	544519.00	gga-let-7a-3	544519.00	544519.00	71187.22
gga-let-7b	140677.00	gga-let-7b	140677.00	140677.00	18391.29
gga-let-7c-5p	37006.00	gga-let-7c	37006.00	37006.00	4837.95
gga-let-7d	796.00	gga-let-7d	796.00	796.00	104.06
gga-let-7f-5p	217961.00	gga-let-7f	217961.00	217961.00	28494.94
gga-let-7g-5p	62978.00	gga-let-7g	62978.00	62978.00	8233.37
gga-let-7i	35419.00	gga-let-7i	35419.00	35419.00	4630.47
gga-let-7a-5p	544925.00	gga-let-7j	544925.00	544925.00	71240.30
gga-let-7j-5p	544925.00	gga-let-7j	544925.00	544925.00	71240.30
gga-let-7k-5p	35871.00	gga-let-7k	35871.00	35871.00	4689.56
gga-let-7l-5p	19025.00	gga-let-7l-1	19025.00	19025.00	2487.22
gga-let-7l-5p	19025.00	gga-let-7l-2	19025.00	19025.00	2487.22
gga-miR-100-5p	15250.00	gga-mir-100	15250.00	15250.00	1993.70
gga-miR-101-1-5p	90.00	gga-mir-101-1	90.00	90.00	11.77
gga-miR-101-2-5p	76.00	gga-mir-101-2	76.00	76.00	9.94
gga-miR-103-1-5p	0.00	gga-mir-103-1	0.00	0	0
gga-miR-103-2-5p	0.00	gga-mir-103-2	0.00	0	0
gga-miR-10585-5p	0.00	gga-mir-10585	0.00	0	0
gga-miR-10585-3p	0.00	gga-mir-10585	0.00	0	0
gga-miR-106-5p	5091.00	gga-mir-106	5091.00	5091.00	665.57
gga-miR-107-5p	22.00	gga-mir-107	22.00	22.00	2.88
gga-miR-10a-5p	1.00	gga-mir-10a	1.00	1.00	0.13
gga-miR-10b-5p	270.00	gga-mir-10b	270.00	270.00	35.30
gga-miR-10c-5p	0.00	gga-mir-10c	0.00	0	0
gga-miR-122-5p	8.00	gga-mir-122-1	8.00	8.00	1.05
gga-miR-122-5p	8.00	gga-mir-122-2	8.00	8.00	1.05
gga-miR-12207-5p	0.00	gga-mir-12207	0.00	0	0
