,Genotype,Incubation.Temp,Incubation.Temp:Genotype,Residuals
novel:CALPDS010000116.1_47237,0.375753770260567,8.08482417021455e-10,0.433467504519297,0.190778724411653
known:CALPDS010000185.1_47481,0,0,0,1
known:CALPDS010000378.1_48005,0.779216949463876,0.0225946052010866,0.0787933723995026,0.119395072935535
known:CALPDS010000378.1_48036,0.208994515940772,0.432585538798523,0.0527497472097927,0.305670198050912
known:OW982291.1_4101,4.85579052071579e-11,0.788950280925978,0,0.211049719025464
known:OW982291.1_73,0,0.669783626753987,0.132049848712189,0.198166524533824
known:OW982291.1_77,0.250158161524432,0.47862534055293,1.19157158932446e-10,0.271216497803481
novel:OW982291.1_87,5.08577490755902e-10,0.292845947364995,0.47469093965696,0.232463112469467
known:OW982291.1_494,0,0.253914964656315,0,0.746085035343685
known:OW982291.1_4863,0.168127371549011,0,0,0.831872628450989
novel:OW982291.1_4949,0,0,0.617987140718527,0.382012859281473
novel:OW982291.1_4950,0,0,0.538512739347879,0.461487260652121
novel:OW982291.1_1361,0.230349577996695,0.256714730198577,0,0.512935691804727
known:OW982291.1_1658,0,0,0,1
known:OW982291.1_2296,0.080364696789472,0,0,0.919635303210528
known:OW982291.1_2298,0,0,0,1
known:OW982291.1_2300,0.260004758748613,1.7752428411778e-10,0.12382095869985,0.616174282374012
novel:OW982291.1_5831,0,0.0168102506876185,0.502328200661808,0.480861548650573
known:OW982291.1_2498,0,0,0.148834270227755,0.851165729772245
known:OW982291.1_2499,0.221168027502951,0.311769356266901,8.34261244374704e-10,0.467062615395886
novel:OW982291.1_6215,0,0,0,1
novel:OW982291.1_6374,0,0.0933408622142648,0.598786396526361,0.307872741259374
novel:OW982291.1_3027,0.04435111842044,0.650997016506904,0.180420814187785,0.124231050884871
known:OW982291.1_3058,0.738998857787415,0,0,0.261001142212585
known:OW982291.1_6720,0.0527504399602834,0.0239641028397835,0,0.923285457199933
known:OW982291.1_6721,0.0384756603565271,7.46408807737104e-10,0,0.961524338897064
known:OW982291.1_6724,0.339988391344002,0.432086911932602,7.74333755422604e-09,0.227924688980059
known:OW982291.1_6727,0,0,0,1
novel:OW982291.1_6827,0,0,0.872774920229341,0.127225079770659
known:OW982291.1_6991,0.162972348353986,0.0188138165820893,0,0.818213835063925
known:OW982291.1_6993,0.365933251205452,0.028940847770437,1.05487499465884e-10,0.605125900918623
novel:OW982291.1_7006,0.24223377295142,0.388377051284033,0,0.369389175764548
novel:OW982291.1_7260,0.0239989647777855,0.724887255462054,0,0.25111377976016
novel:OW982292.1_10364,0.167224156969388,0,0,0.832775843030612
known:OW982292.1_10416,0,0.0123119969049411,0,0.987688003095059
novel:OW982292.1_8715,0,0.126866257312198,0,0.873133742687802
known:OW982292.1_8979,0.573629608773677,0.145559083293209,0,0.280811307933114
known:OW982292.1_8980,0.573629608773677,0.145559083293209,0,0.280811307933114
known:OW982292.1_9046,0,0,0.101847959294683,0.898152040705317
known:OW982292.1_9221,0,0.41250343698252,0,0.58749656301748
known:OW982292.1_9226,0,0.0836263428355752,0.0933683931854697,0.823005263978955
known:OW982292.1_9450,0.308131328980432,0,0,0.691868671019568
known:OW982292.1_11552,0.473939702119113,0.394171153580114,0.0358986256762702,0.0959905186245033
novel:OW982293.1_13080,0,0,0.46976161345491,0.53023838654509
novel:OW982293.1_13144,0.143687666322534,0.57652295492383,0.0813536712595564,0.198435707494079
known:OW982293.1_12063,0.00412161084482222,0.354800740603589,0.408489187799392,0.232588460752197
known:OW982293.1_12064,0.00412161084482222,0.354800740603589,0.408489187799392,0.232588460752197
known:OW982293.1_13413,0,0.0868182779549817,0.340476778900473,0.572704943144546
known:OW982293.1_13414,0,0.453547625335233,0,0.546452374664767
novel:OW982293.1_13427,0,0.845630535118641,0.0476374846788129,0.106731980202546
known:OW982293.1_13826,0.0782306287196944,0.803855489926252,0.0753784536827504,0.0425354276713035
novel:OW982293.1_13890,0.141251279242639,0.700814334236228,0.00503187202009123,0.152902514501042
novel:OW982293.1_14451,0.17558819816514,0.528823177265946,7.72363007148791e-10,0.295588623796551
known:OW982293.1_14549,0,0.561054638033724,0.147406582482761,0.291538779483515
known:OW982293.1_14552,0,0.248906348864865,0,0.751093651135135
known:OW982294.1_44233,0,0,0,1
known:OW982294.1_44316,0.251676370522218,0.415606135917734,0.0629409144498097,0.269776579110239
known:OW982294.1_44435,0.020693168029405,0.565778359898562,2.29217149581728e-09,0.413528469779862
known:OW982294.1_44437,0,0,0,1
known:OW982294.1_44439,0.0559294034609917,0.441187702535691,0.108062163699522,0.394820730303795
known:OW982294.1_44887,1.53379687572682e-09,0,0.130651112591342,0.869348885874861
known:OW982294.1_44888,0,0.217281988171581,0.162502168854991,0.620215842973428
known:OW982294.1_45095,0.801026914054606,0.0194950357523967,0.0771605532066298,0.102317496986368
novel:OW982294.1_45097,0,0,0.432144612321663,0.567855387678337
known:OW982294.1_46496,0,0,0,1
novel:OW982295.1_14863,0,0.260175503426739,1.61147470727521e-07,0.73982433542579
novel:OW982295.1_15424,0.274789449654125,0.411708777802676,0.058723396190994,0.254778376352205
novel:OW982295.1_16736,0,1.34662856928937e-10,0.504096080065211,0.495903919800126
known:OW982295.1_15520,0,0,0,1
known:OW982295.1_17122,0,0.596387020355548,0.00848748711537332,0.395125492529079
known:OW982295.1_17129,0,0,0.644808094332709,0.355191905667291
novel:OW982296.1_18749,0,0.235593868069383,0,0.764406131930617
novel:OW982296.1_17269,6.3307095569586e-05,0.92097651490332,0,0.0789601780011107
known:OW982296.1_17568,0.0812907365881721,0.71137330355694,0,0.207335959854888
known:OW982296.1_17769,0.309855813587523,0.168483686613828,0.0912495645437833,0.430410935254866
known:OW982296.1_17770,0.000600948144950962,0,0.729464020357814,0.269935031497235
novel:OW982296.1_19394,0.00758519035565622,0.454966877359849,8.75822206668637e-11,0.537447932196912
novel:OW982296.1_20257,0,0.418205247617811,0,0.581794752382189
known:OW982296.1_20355,0,0.746075243647622,0,0.253924756352378
known:OW982296.1_20356,0,0.272072613296895,1.41675718085725e-09,0.727927385286348
known:OW982297.1_20558,0.190355756563135,2.48630379603626e-10,0,0.809644243188235
novel:OW982297.1_22048,0,0,0,1
known:OW982297.1_22176,0,0,0,1
novel:OW982297.1_22208,0,0.188668260956243,0.450870278668738,0.360461460375019
known:OW982297.1_22209,0,0.398120786241789,0,0.601879213758211
known:OW982297.1_22337,0.0353057331054777,0.427993544953501,0,0.536700721941021
known:OW982297.1_21451,0,0,0.16711733386834,0.83288266613166
known:OW982298.1_23877,0.0102012999402435,0.679923606243994,0.00226680555678288,0.30760828825898
novel:OW982298.1_24178,0,0.307763712203003,0,0.692236287796997
