,NCT_48_38_33_101_smRNA_S34,NCT_48_38_33_102_smRNA_S35,NCT_48_38_38_61_smRNA_S45,NCT_48_38_38_62_smRNA_S46,NCT_48_38_43_51_smRNA_S32,NCT_48_38_43_52_smRNA_S33,RBC2_48_38_33_101_smRNA_S27,RBC2_48_38_33_102_smRNA_S28,RBC2_48_38_38_12_smRNA_S38,RBC2_48_38_38_14_smRNA_S39,RBC2_48_38_43_22_smRNA_S40,RBC2_48_38_43_24_smRNA_S41
novel:CALPDS010000116.1_47237,4.30930458591999,4.25192909846176,5.43736841509405,5.53695752173142,4.80163461623819,4.18760935132265,5.67302492909387,5.97452630655611,5.62784147696785,5.76145633121995,5.38074407497759,5.89666419418351
known:CALPDS010000185.1_47481,10.7159314855479,10.8216580439944,10.9095498606578,10.7403996738748,12.5127449276332,10.7387864426359,10.8223306971375,10.8103939057635,10.784306172425,10.8320366040996,10.7352104023888,10.9341232099826
known:CALPDS010000378.1_48005,17.2246538664468,17.2429141414666,17.488312962006,17.033835017882,17.2961160419872,17.094138675899,16.1896991226847,16.1907136745062,16.6097423111232,16.7636244502548,16.1877572872428,16.3821414737523
known:CALPDS010000378.1_48036,6.15599073339634,6.77660512069896,6.59744384942224,6.0030281475859,5.37687293946055,5.32424813888509,5.87459956190021,4.97143394723268,5.76483869844943,6.22336860369131,4.88175298937926,4.79743243551535
known:OW982291.1_4101,2.35517773020439,2.35517773020438,3.67352285587634,2.35517773020438,6.51810318606556,4.49764268938669,2.35517773020438,3.37403529640553,2.35517773020438,2.35517773020438,6.2320201893445,5.89666419418351
known:OW982291.1_73,9.74525363087523,9.87473859325014,9.40452862633506,8.78740974885481,9.14293207373767,8.43403462271849,10.0819830937558,10.1933835697546,9.62261168329354,9.71480217736796,8.54550789878841,8.62720761590189
known:OW982291.1_77,9.8864660831549,9.5786359292446,8.85706161322432,9.96941401662838,7.71472780471957,8.85737924577603,10.189866310733,10.3525029237174,10.0010426999234,10.3833985708483,9.23377492795599,9.2169782864131
novel:OW982291.1_87,3.64052474178002,4.25192909846176,3.67352285587634,3.4618379608335,3.27367969038366,3.79218107493132,5.43863980407827,5.3880184547167,3.90381053709367,4.42580786809393,3.48644162662727,2.35517773020438
known:OW982291.1_494,12.8753959240996,12.9102490841779,12.8465581983746,12.7946128648193,13.9233319478712,13.0068442960238,12.8100775325478,12.8500041215879,12.9012123687971,12.7961551283543,12.9569620193302,13.2094556634313
known:OW982291.1_4863,7.38299298264534,7.24266613140215,5.87328380337333,7.87827404887321,7.19285359390164,7.08927397467828,6.9054248108196,6.63862894076843,6.62505461309259,5.76145633121995,6.68057058133024,6.36225439817464
novel:OW982291.1_4949,6.54491380515253,5.55229020233154,6.80890498036278,5.86375720702439,4.54440341061572,4.75269242218665,4.35177778567358,4.70716073934182,5.476456956206,5.52538367273696,5.83017147092664,5.78235345284986
novel:OW982291.1_4950,6.54491380515253,5.55229020233154,6.90404484046934,5.86375720702439,4.54440341061572,4.96935432775941,4.35177778567358,4.70716073934182,5.30730479783796,5.52538367273696,5.75079510937551,5.65819991856283
novel:OW982291.1_1361,3.64052474178002,3.59510652024623,4.35069762658254,4.51234972090374,3.83041996457752,5.32424813888509,4.35177778567358,4.38337244459844,5.11565276732705,4.67735867453474,5.27123024517381,5.3723598130583
known:OW982291.1_1658,12.6296807425568,12.5914955444218,12.9903535092657,12.4235837912417,14.4928276774388,12.5712868064245,12.7294828124661,12.6500071732868,12.6189208434133,12.6857381982352,12.5780657194419,12.7473761104467
known:OW982291.1_2296,8.84894060458542,8.6521217945654,8.53910775888833,8.68769093238377,7.77596750871986,8.99960471679704,8.70825008390006,9.02163249267534,9.04232357506463,8.79178525572456,8.93479830895025,8.85637915258425
known:OW982291.1_2298,9.68207587455768,9.78642844687485,9.97494032834381,9.35383820024815,10.6554090998143,9.64417917852627,9.81419279569461,9.70529984996353,9.46059644805141,9.76318457261672,9.66571772274561,9.86252924215423
known:OW982291.1_2300,13.959926904938,13.9711501059338,13.739641082226,13.7165191996742,12.6772724771404,13.7724151311216,14.136300775916,14.1508620874468,14.1544385400349,14.2372959524913,14.0712161813688,14.1701724776326
novel:OW982291.1_5831,7.86486117561444,6.94923466390681,8.8806473663556,8.58056438081984,9.32811417138931,7.96434781994848,7.43823911645953,7.56154670387176,6.62505461309259,7.36447275398453,8.591796614955,8.70771140430952
known:OW982291.1_2498,7.67023603029551,7.87690907631218,6.20759512980742,7.5551417807709,9.69607323538568,7.71723034235832,7.87430338360478,7.6011028573796,7.82511090574469,7.46818478427137,7.48154807107242,6.83334333952071
known:OW982291.1_2499,11.2348589926748,11.4436628982093,10.3492245559295,10.9657277584762,10.3875784923775,11.0072376144192,11.6139192799536,11.5037183311151,11.353007579091,11.1083754188116,11.3594337551261,10.8760836170302
novel:OW982291.1_6215,6.54491380515253,5.92745502337692,7.23204721256583,5.1137639701958,4.80163461623819,5.60884850625078,5.43863980407827,6.09024112344934,5.88994752620411,6.44293803678787,6.17234677340774,6.00257881024093
novel:OW982291.1_6374,3.64052474178002,4.70159748871608,8.13066976141262,6.13003022481895,3.27367969038366,3.24565509965038,2.35517773020438,2.35517773020439,4.63339910631704,4.42580786809393,3.83324786556237,5.01553263417108
novel:OW982291.1_3027,2.35517773020439,2.35517773020438,5.87328380337333,5.34082263729168,5.01986755610608,3.79218107493132,2.35517773020438,2.35517773020439,3.90381053709367,4.12093558131704,4.11263251715242,4.22739294147034
known:OW982291.1_3058,5.99894779568918,5.32037903957003,5.67172802883672,4.84417136058,5.20938513401846,6.05039787405529,6.9054248108196,6.56051812250394,6.76230451843221,6.37339618552626,6.76379415780008,6.88964546201348
known:OW982291.1_6720,11.4511405268511,11.6040385606274,10.9209695448664,11.83929295319,11.5669463763912,11.3491308143491,12.0380238803713,12.0614890930484,11.6424950572606,11.3379163870674,11.6300628730508,11.6418454130273
known:OW982291.1_6721,8.18955680718435,7.83349595949744,7.23204721256583,8.7284092292566,6.58807116015451,8.08530557372621,8.65448093088601,8.81848413260768,8.25543188979354,7.74091726196487,8.24598368797054,8.22932940785642
known:OW982291.1_6724,10.8881707114895,10.9942133050432,10.1501279177402,10.7650729516102,10.165286951773,10.6823756932193,11.9061964956866,11.6117560074102,10.7640169798495,10.8609075248101,10.9525564331602,10.927414976221
known:OW982291.1_6727,12.4364844191,12.2920859643818,11.3336314446926,12.3906644102505,11.7440431839078,12.3452950385932,12.2902265276785,12.5102593582268,12.3651292178046,12.0140619353632,12.3103788601599,12.0695674172063
novel:OW982291.1_6827,2.35517773020439,3.59510652024623,6.99329689021165,7.76540888706606,6.10601172272843,4.96935432775941,3.67438651077084,4.38337244459844,2.35517773020438,4.12093558131704,7.12024156047814,6.99605801887641
known:OW982291.1_6991,10.8937583214277,11.0331109318502,10.4785055676718,10.817913050406,10.3427433713788,11.0789136563713,11.3307912599579,11.018264747035,10.9939562339847,10.9108489836875,11.1119284329878,10.9802272621867
known:OW982291.1_6993,8.80216841578212,8.49381418055103,8.16948611962624,9.06683641287495,8.14436569609604,8.48769170714375,9.25154750527008,9.16049448382639,9.15879706509674,8.75123836004892,8.97027330527406,8.82784599970488
novel:OW982291.1_7006,7.02397278112533,7.83349595949744,7.96403322443801,8.0487339159602,7.61769987782155,6.6613938231142,7.37315025350549,6.91460237651919,7.62365915977521,7.13158623952535,6.28932309175733,6.19359645136487
novel:OW982291.1_7260,3.64052474178002,2.35517773020438,5.15741139661886,4.51234972090374,7.51367282151202,5.73253523451089,2.35517773020438,3.37403529640553,4.63339910631704,3.7338838569628,5.57760196228407,6.4397230803944
novel:OW982292.1_10364,7.38299298264534,7.91905389193694,7.15676995953478,7.25419081820493,7.61769987782155,6.89113889569846,6.70841624517957,6.19735995291713,7.10968420365135,7.04478069672103,7.4058383562902,6.64991603805552
known:OW982292.1_10416,12.4441208177954,12.4955311888168,12.453150033646,12.4189267622087,14.1028527635806,12.5001812843483,12.5010286533847,12.4397385010773,12.3017969897027,12.4088763902674,12.4146543612554,12.7019141694206
novel:OW982292.1_8715,5.82269812918199,6.47141146109163,4.35069762658254,6.13003022481895,6.51810318606556,4.96935432775941,6.20893690268639,6.91460237651919,6.30382373903063,6.05590919376981,5.0235862627546,4.54038576839593
known:OW982292.1_8979,5.99894779568918,5.55229020233154,6.34957542348669,5.53695752173142,3.27367969038366,5.15768653161205,7.87430338360478,7.24935448643007,7.00292234868638,6.99933733399336,6.54597675199088,6.83334333952071
known:OW982292.1_8980,5.99894779568918,5.55229020233154,6.34957542348669,5.53695752173142,3.27367969038366,5.15768653161205,7.87430338360478,7.24935448643007,7.00292234868638,6.99933733399336,6.54597675199088,6.83334333952071
known:OW982292.1_9046,12.505624836472,12.502477803897,12.2732775119546,12.3858997179154,11.901758162937,12.5483229652616,12.3442932032447,12.3497143794207,12.5753398483498,12.5176330368218,12.6563828646728,12.6900735887483
known:OW982292.1_9221,10.6314996604237,10.7239994776283,10.9038059414128,10.6048194861469,10.6955843781292,10.047013702096,10.5698264505241,10.7500887787253,10.6798804833711,10.9855780574583,10.2638202781156,10.3824501737102
known:OW982292.1_9226,10.576973591632,10.6694909507751,10.1978500844146,10.2467210668973,10.0828663286556,10.6196691276007,10.5029434956288,10.4852711933438,10.4194763955896,10.3384861106864,10.5512591011159,10.6380035506952
known:OW982292.1_9450,3.64052474178002,3.59510652024623,3.67352285587634,4.84417136058,4.80163461623819,2.35517773020438,4.35177778567358,4.97143394723268,5.30730479783796,5.24297634975308,4.54785064258547,5.78235345284986
known:OW982292.1_11552,15.8128337111662,15.800366319849,16.8000582643343,16.3083875799103,16.7195423820382,16.1679479850594,14.5460158638195,14.5672551970363,15.5602303091592,15.6539286926671,15.6781038644661,15.9089166004444
novel:OW982293.1_13080,3.64052474178002,5.32037903957003,3.67352285587634,2.35517773020438,5.66282717828648,5.47355485991906,4.35177778567358,4.97143394723268,4.63339910631704,4.42580786809393,4.54785064258547,3.82712566668042
novel:OW982293.1_13144,7.61718140149244,7.48638519355829,7.43684013825153,6.79894213685244,5.90137080483114,5.60884850625078,5.87459956190021,6.85039885414147,6.69531109880573,6.74779615920085,5.75079510937551,5.20495014397653
known:OW982293.1_12063,5.38851855218823,5.92745502337692,7.55881638219257,6.8734513137247,5.20938513401846,5.60884850625078,4.81089992076025,3.965229272218,6.00506752426653,6.44293803678787,5.97691351141558,5.3723598130583
known:OW982293.1_12064,5.38851855218823,5.92745502337692,7.55881638219257,6.8734513137247,5.20938513401846,5.60884850625078,4.81089992076025,3.965229272218,6.00506752426653,6.44293803678787,5.97691351141558,5.3723598130583
known:OW982293.1_13413,5.38851855218823,6.22491960432683,6.20759512980742,6.54910579210114,5.66282717828648,6.22905299288712,5.87459956190021,6.39033586109512,6.47336143716952,5.86642798301987,4.72444027218497,5.20495014397653
known:OW982293.1_13414,6.29760471081626,6.47141146109163,6.80890498036278,7.01183289839986,6.00731666994937,6.72235003457317,6.20893690268639,6.71272699089776,6.69531109880573,6.80173551855893,6.17234677340774,6.00257881024093
novel:OW982293.1_13427,6.75596798443504,7.48638519355829,5.87328380337333,5.34082263729168,5.01986755610608,3.79218107493132,7.82647818669796,7.14616642561225,6.55120084298452,6.50928136710696,3.83324786556237,3.82712566668042
known:OW982293.1_13826,11.1203704304753,11.1438812915038,15.0507251274078,14.0634210340413,15.4131292394526,14.5563198840687,10.2086432612821,10.3754969152269,12.4815346640534,12.8507490106813,14.6833472867267,14.8345781132754
novel:OW982293.1_13890,9.78187355528333,9.7283571252481,9.25011808569676,9.30082459640996,8.31912484311904,6.31071559774176,9.19617223553588,9.49041161327671,7.76103575717697,8.03918409112381,5.75079510937551,6.5132430460891
novel:OW982293.1_14451,9.36561294855125,9.30434128076794,9.93043301727927,9.03472773334758,8.63228913477067,6.72235003457317,8.92811907725649,8.88409159576267,7.94530800195493,8.2671801174413,6.63708637202923,7.23210664131239
known:OW982293.1_14549,8.2946648562387,8.60125856543511,7.67127897296791,7.5997184152351,7.32166148637116,7.52531776230022,8.20870199434454,8.17333657370669,8.4909243591367,7.89774505328481,7.55348201492555,7.142266795933
known:OW982293.1_14552,6.8509432926979,6.94923466390681,5.43736841509405,7.07634483481494,5.78702366012745,6.22905299288712,6.8102807544187,6.78320449906898,7.05729062047229,6.30033170994982,5.83017147092664,6.36225439817464
known:OW982294.1_44233,7.17845466319319,7.10339774624378,6.90404484046934,7.5551417807709,8.64875403606137,6.89113889569846,7.7257915651935,6.85039885414147,7.16024152879632,7.68460952015411,7.0222389938383,6.99605801887641
known:OW982294.1_44316,14.0695175008153,14.0958077934647,14.7486137220255,14.3263835774822,12.4751555151121,13.6624885319332,12.8951272515407,13.0418826963314,13.5822867367763,13.8885313376557,12.7638968912755,12.9118816995386
known:OW982294.1_44435,16.2499729203687,16.3944756317983,16.8662556097542,16.3932383055969,17.3636734913005,16.8346061359623,16.1720183940812,16.2357829451247,16.6057575604817,16.7041251143124,16.6827192197847,16.7883339139815
known:OW982294.1_44437,11.5987045638851,11.6516844411841,10.9602412759967,11.9337281396968,10.4639993109001,11.9507698239699,11.8049484564914,11.795606936346,11.8569145486343,11.5198973922159,11.8084839413764,11.6065865434979
known:OW982294.1_44439,14.8579625427516,14.9554994302205,15.1480787702963,15.2879810613456,16.6056885652263,15.5868396022268,14.8576947704923,14.8081204877766,15.1191238696775,15.024954620486,15.3524978636093,15.4127927563309
known:OW982294.1_44887,8.39263249574621,7.48638519355829,8.00753123296841,7.01183289839986,7.71472780471957,6.53116439500078,7.07873453524558,6.56051812250394,7.47181118337022,7.62601454038858,6.17234677340774,6.94383263609116
known:OW982294.1_44888,7.90967496012243,7.30756312697915,7.23204721256583,6.35473149737486,6.71858261097088,5.32424813888509,6.8102807544187,6.19735995291713,6.69531109880573,7.13158623952535,5.83017147092664,6.19359645136487
known:OW982294.1_45095,17.2285282322371,17.2371993931727,17.4569701028537,17.0531852261351,17.2875574608808,17.1012384410727,16.1852621821405,16.2059271498342,16.5826291697496,16.7484685216124,16.1829222924955,16.3732988716268
novel:OW982294.1_45097,7.56210097123871,7.48638519355829,7.15676995953478,7.19731043771228,4.54440341061572,6.59774805680215,6.05143176205015,5.55845875714385,6.00506752426653,6.63346224258805,6.68057058133024,6.1012467459539
known:OW982294.1_46496,5.38851855218823,5.92745502337692,6.70704528140053,6.13003022481895,4.80163461623819,5.8464501707397,5.43863980407827,6.19735995291713,5.476456956206,5.24297634975308,6.17234677340774,4.22739294147034
novel:OW982295.1_14863,5.38851855218823,2.35517773020438,2.35517773020439,4.08067069965867,2.35517773020438,3.24565509965038,5.43863980407827,4.38337244459844,2.35517773020438,3.20331511414305,3.48644162662727,3.27125756196942
novel:OW982295.1_15424,3.64052474178002,4.25192909846176,5.15741139661886,5.34082263729168,2.35517773020438,3.79218107493132,6.70841624517957,5.84871457463605,5.88994752620411,5.96427712422726,3.83324786556237,5.20495014397653
novel:OW982295.1_16736,4.30930458591999,2.35517773020438,4.35069762658254,4.84417136058,3.83041996457752,3.79218107493132,2.35517773020438,4.38337244459844,4.63339910631704,4.42580786809393,5.38074407497759,5.65819991856283
known:OW982295.1_15520,5.10998548783128,4.70159748871608,5.87328380337333,5.86375720702439,6.94876706565562,4.18760935132265,4.81089992076025,2.35517773020439,5.62784147696785,4.89149219804356,5.97691351141558,5.20495014397653
known:OW982295.1_17122,10.2683479355816,9.99782758326341,9.75011603523427,10.2396960910049,11.5451240881639,10.8556329422394,9.93186698860875,10.2253773219481,10.5579047688603,10.1009985783515,10.886780385518,10.7022897585559
known:OW982295.1_17129,12.8796258951937,12.8732119429962,13.0655955107811,12.9893734933363,12.7704995368192,13.0646297179207,12.8450014402884,12.9132430513548,13.1028819238486,13.1771081698143,13.2816858391907,13.2259506402678
novel:OW982296.1_18749,5.62188038366894,3.59510652024623,4.80972127235726,5.1137639701958,2.35517773020438,4.75269242218665,5.43863980407827,5.3880184547167,5.30730479783796,3.7338838569628,3.48644162662727,3.82712566668042
novel:OW982296.1_17269,7.38299298264534,6.35342344206361,8.04975604767236,8.0487339159602,9.29711470055418,8.91073388421656,6.59880924355286,6.56051812250394,8.10868703795713,7.99356127646289,8.73273335053029,9.09057438270415
known:OW982296.1_17568,11.5499949936165,11.5812536012136,11.3506210418555,12.3858997179154,12.8721574932618,12.8014733762295,10.9836493262867,11.1999219051213,11.8180799075121,11.3850564948093,12.6051168665717,12.449088442618
known:OW982296.1_17769,6.29760471081626,5.75203334677251,5.87328380337333,6.2467511289448,5.66282717828648,7.17899134632435,7.07873453524558,6.39033586109512,6.55120084298452,6.69176152829666,7.70856938791779,7.80060926836393
known:OW982296.1_17770,8.22545043646973,8.03856942931525,8.31508126664436,8.78740974885481,8.27737933827456,8.43403462271849,8.65448093088601,8.0923777596669,8.64087421235335,8.764881003332,9.30497031520568,9.28152596923771
novel:OW982296.1_19394,2.35517773020439,5.04391199573671,5.67172802883672,5.70959099290234,4.54440341061572,4.49764268938669,4.35177778567358,2.35517773020439,5.11565276732705,4.89149219804356,4.34659126763615,4.54038576839593
novel:OW982296.1_20257,6.54491380515253,6.08384042806708,6.20759512980742,5.70959099290234,6.58807116015451,7.30390142664112,6.59880924355286,5.55845875714385,5.62784147696785,6.57270751086843,6.9170907373727,6.94383263609116
known:OW982296.1_20355,5.62188038366894,5.04391199573671,6.90404484046934,6.0030281475859,6.83826076741866,6.72235003457317,5.43863980407827,4.38337244459844,6.94642468861357,6.37339618552626,6.54597675199088,7.04645871054417
