,NCT_72_33_32_smRNA_S31,NCT_72_33_53_smRNA_S44,NCT_72_38_71_smRNA_S47,NCT_72_38_73_smRNA_S48,NCT_72_43_21_smRNA_S29,NCT_72_43_22_smRNA_S30,RBC2_72_38_11_smRNA_S25,RBC2_72_38_12_smRNA_S26,RBC2_72_43_41_smRNA_S42,RBC2_72_43_42_smRNA_S43
novel:CALPDS010000116.1_47237,5.22569568136603,4.8729704847982,6.75362366812513,5.54167589173698,4.88369807364321,5.94498884255884,5.59608489720785,5.45914980851087,5.46058116431822,5.2081574612297
known:CALPDS010000185.1_47481,11.1684827131881,11.4730628525299,11.136894242766,10.9400826057119,11.0110585917039,11.0491344469842,11.2708782192919,11.189812526187,11.2318318956862,11.2652496640445
known:CALPDS010000378.1_48005,17.6036904009074,17.4919982195472,17.4984677392237,16.9883443215856,17.1431562234157,17.1847197887442,16.4815239878588,16.3869794169068,16.3831809900747,16.4062367141758
known:CALPDS010000378.1_48036,6.25659937935735,6.59831740569748,6.91765882463573,6.78813763573532,5.96326053728341,5.76552028343714,5.81882260908046,5.92297203088466,5.5752689198612,5.96904260881428
novel:OW982291.1_4098,4.99285314866851,5.23846654920397,1.98428374255877,4.39276231858477,3.49325335230059,3.4806238166822,5.00991322839769,4.58340077472421,3.89599448913496,4.21938734731348
known:OW982291.1_73,10.5601015005674,11.1009279954928,10.7510774943308,10.6688420547956,9.39295423524189,9.68904326632459,10.5212527759223,10.4903846063166,10.0406765076202,10.0552122280694
known:OW982291.1_77,10.0920696804049,9.87922586997234,9.96597523635091,10.7316697090342,10.2784833438643,9.30124127985673,10.6244884271442,10.8181988097933,10.3373462883165,9.98906368719963
novel:OW982291.1_87,3.2530367377353,5.06726215945046,3.65753245049179,3.03898315731476,1.98428374255877,1.98428374255877,4.32966226356475,3.40995013842173,1.98428374255877,1.98428374255877
novel:OW982291.1_97,7.59675685224934,6.32184354824176,1.98428374255877,3.64172743596065,3.49325335230059,4.67666242355153,5.81882260908046,5.56461091854607,3.49103799263235,4.88904504346097
novel:OW982291.1_4262,3.2530367377353,4.3822618834823,1.98428374255877,1.98428374255877,2.92766762638965,1.98428374255877,4.59366554673787,3.40995013842173,1.98428374255877,1.98428374255877
known:OW982291.1_494,12.5152743823527,12.700729820299,12.3265494651206,12.5904618723784,12.6542592571864,12.7531770695742,12.7700772794962,12.7369397413169,12.7812653702395,12.8079223922326
known:OW982291.1_814,4.37070739095092,3.63289642682862,3.65753245049179,4.39276231858477,4.21452793896735,3.88419071189312,3.58881464016824,4.11283159807786,4.690283746042,4.88904504346097
known:OW982291.1_4863,6.02910209414663,6.88282199272842,6.75362366812513,7.41102246281593,7.80144672458175,7.75846977247596,6.76735223121341,6.91557666135826,7.03868726706973,6.83276836469444
novel:OW982291.1_4949,6.54209283242156,7.39837662650289,7.50411034698899,7.21800702976487,6.39752148472311,6.10458158647946,6.0992960399641,6.2733982644381,5.8730513313959,6.20250956728199
novel:OW982291.1_4950,6.45306128609913,7.39837662650289,7.46927232927101,7.176099697873,6.39752148472311,6.10458158647946,6.0992960399641,6.44894023901875,5.8730513313959,6.12880679528977
novel:OW982291.1_1361,1.98428374255877,5.77212570422563,3.65753245049179,5.9916582268857,6.33362801241153,5.8580434594966,4.81674962516167,4.11283159807786,6.33037900199905,5.69035962834085
novel:OW982291.1_5254,5.90031323225541,4.3822618834823,3.05099971697583,3.64172743596065,3.89850398894404,3.4806238166822,5.00991322839769,5.34536718369055,2.92602860058817,3.90304158478243
known:OW982291.1_1658,12.7760829990517,12.9052341551955,13.3375090676847,12.624944087479,12.8539283531715,12.9636782462653,12.8931055749041,12.9556827685248,12.9254002433912,12.874966860895
novel:OW982291.1_5555,7.21877868204159,4.3822618834823,3.05099971697583,3.03898315731476,1.98428374255877,1.98428374255877,5.00991322839769,4.77137128143436,1.98428374255877,2.93063376916467
