genes,logFC,logCPM,F,PValue,FDR
novel:OW982307.1_34694,4.08618659558178,12.2202744841562,62.4967999887507,3.95147808431353e-07,6.20085254989907e-05
known:OW982293.1_13826,3.91787109927634,13.9849547756399,59.0340802143527,5.82239676046861e-07,6.20085254989907e-05
known:OW982308.1_38879,3.90702199160023,12.3024372331131,55.2883301155651,9.04077008200788e-07,6.4189467582256e-05
novel:OW982320.1_41385,4.04105604763952,9.61696528098316,43.4483367892036,4.30794215651114e-06,0.000229397919834218
known:OW982315.1_40523,2.67707285537394,8.80020069969737,24.9631444881961,0.00010662963192395,0.00454242231996029
novel:OW982299.1_26240,3.39471856879191,6.92222558032134,21.3591004546101,0.000236523498850483,0.00839658420919213
novel:OW982313.1_39729,-2.29835325530486,8.54742193649586,19.6662006753964,0.000353550231460326,0.0107580284715785
novel:OW982296.1_17269,2.20566488675331,8.2770348799625,17.9644642353605,0.000540532772993778,0.0143916850809593
known:OW982298.1_23877,-2.4569773736649,8.35511311630235,16.7354905298775,0.000744850186337014,0.0176281210766427
novel:OW982293.1_13427,-2.91088903212048,6.39104369161069,14.9506201340527,0.0012145356559818,0.024027652124098
novel:OW982293.1_13890,-2.14591195107977,8.76780642923779,14.8747249770891,0.00124086466368581,0.024027652124098
novel:OW982321.1_43195,1.95395921595817,8.47031212759322,13.3257041961801,0.00194693853418088,0.0329752770086057
novel:OW982291.1_7260,4.72704569500841,5.64295121840243,13.2150217551705,0.00201257559207453,0.0329752770086057
known:OW982298.1_23475,1.66865873671095,9.15031011002057,11.8599760312666,0.00305484979352966,0.0464773575729869
novel:OW982303.1_32885,1.97627375504876,9.59457183210225,10.9841523479565,0.00404885820902491,0.0574937865681537
novel:OW982293.1_13144,-1.88032412857069,6.70914921629003,10.3575786300131,0.00498409394694779,0.0663507506687425
known:OW982296.1_17568,1.2727519972619,12.0612771365944,8.28380643459215,0.0103413142412697,0.125643046320585
novel:OW982320.1_41282,5.89483860025016,5.37585163867566,8.33555536667977,0.0106177222242748,0.125643046320585
known:OW982294.1_44439,1.27694748114754,15.3454392946816,7.9104190361992,0.0118844502379171,0.127223995510435
known:OW982305.1_27002,-1.30561588990548,8.5199161617487,7.84635889977032,0.0121745936714601,0.127223995510435
known:OW982291.1_4101,6.25103853433162,5.08950844875573,7.85370240498106,0.0126605196739588,0.127223995510435
known:OW982291.1_77,-1.35339489512619,9.69239170545259,7.64493540387792,0.0131405065785426,0.127223995510435
known:OW982303.1_32888,1.43125755328663,15.5806810681276,7.32566127357279,0.0148549541970568,0.137132611950528
known:OW982303.1_32887,1.41872524163199,15.592306510589,7.22425384817146,0.0154515619099186,0.137132611950528
known:OW982306.1_34006,1.53417611435163,6.94510970197994,7.04806677225938,0.0165539591638667,0.141039732076144
novel:OW982291.1_6827,3.41507198349926,6.17772587192223,6.87510937609978,0.0177238182375631,0.141896879281998
novel:OW982303.1_32745,-2.28685254412425,5.8470947563813,6.74689159997992,0.0186518176452232,0.141896879281998
known:OW982298.1_24494,-1.14060972643059,10.1084157963074,6.58812291803138,0.0198784586857443,0.141896879281998
novel:OW982294.1_45097,-1.68019041437918,6.70581783532563,6.50419455214351,0.0205638193311087,0.141896879281998
novel:OW982293.1_14451,-1.38223584458951,8.70344017342517,6.47086854474165,0.0208433900698862,0.141896879281998
novel:OW982316.1_42312,2.26563392408296,6.00668189917019,6.394047612776,0.0215044796111298,0.141896879281998
known:OW982311.1_36874,1.28527563853098,7.89481028983292,6.3914509998394,0.0215272386185409,0.141896879281998
known:OW982300.1_28198,1.17804316596247,12.3509010338921,6.2387672516255,0.0229150303826447,0.141896879281998
known:OW982302.1_30394,1.15939442258111,9.18520215852208,6.22619301026335,0.0230337937818666,0.141896879281998
known:OW982294.1_44888,-1.5185161870966,6.81429632905397,6.1838124710937,0.0234392757246951,0.141896879281998
known:OW982309.1_35397,2.22143766584906,5.75754624403991,6.03120334675245,0.024968324301184,0.141896879281998
known:OW982295.1_17122,1.10494116763487,10.5206934722556,5.95680940701035,0.0257547628009151,0.141896879281998
novel:OW982308.1_39397,1.59867909600202,6.49660892003506,5.95416267202261,0.0257832586377715,0.141896879281998
novel:OW982291.1_5831,1.3480835247036,8.23509809030635,5.93587674805493,0.0259811187417743,0.141896879281998
known:OW982312.1_38546,1.15064960433224,11.5781181028527,5.82434976579035,0.0272260965914337,0.144978964349385
known:OW982317.1_41916,-1.24941206668031,11.0278499733914,5.61730263138525,0.029722613517424,0.154412601931983
known:OW982306.1_33257,1.07372181252694,9.00638238445738,5.42455271126796,0.0322846251454958,0.163729170380728
novel:OW982316.1_42309,3.61922353909783,5.03480276550809,5.13283641520335,0.0366589187247858,0.179814138697005
known:OW982317.1_41863,1.20258873919258,14.5439041415978,5.1029249455478,0.0371447047073624,0.179814138697005
known:OW982291.1_1658,1.22058272255906,12.9423704305582,5.0111697223264,0.0386816651941614,0.181146902569861
known:OW982296.1_20355,1.53081590784662,6.47705964371505,4.960478692639,0.0395620644818757,0.181146902569861
known:OW982293.1_14549,-1.0486856416961,7.95932444401688,4.93735118433837,0.0399713822571995,0.181146902569861
known:OW982291.1_73,-0.988059805646744,9.46670207447914,4.7572767247862,0.0433305885678729,0.192279486769936
known:OW982291.1_2498,1.2590389936524,7.94339116864518,4.70635077484391,0.0443388077453957,0.192738082648353
known:CALPDS010000185.1_47481,1.1145931216812,11.0600255887514,4.42078895110959,0.0505200153094454,0.200509937799539
known:OW982309.1_35790,1.09746129745128,10.997741592438,4.39892343560864,0.0510330122420865,0.200509937799539
novel:OW982316.1_42310,2.79866894466861,5.07188854244304,4.38707662896199,0.0513134716464802,0.200509937799539
known:OW982298.1_24281,-2.05872815284293,6.41893417030851,4.38542927253117,0.0513526119662416,0.200509937799539
known:OW982300.1_27483,1.02068356165069,8.92465605870425,4.37717343204834,0.0515492875550355,0.200509937799539
known:OW982303.1_32889,1.1060789286564,14.4755715095046,4.33193975255596,0.0526424723150958,0.200509937799539
known:OW982298.1_24282,-2.05872690680368,6.34606973192185,4.32892714302331,0.0527162277782824,0.200509937799539
known:OW982314.1_40988,-0.954281012177252,11.0585495921078,4.22652555442942,0.0552959247806901,0.203820259134407
novel:OW982300.1_27993,2.66617260954854,5.07428658063481,4.21864848963882,0.0555003522525615,0.203820259134407
known:OW982292.1_10416,1.04389853012174,12.7003695333696,4.09987968710521,0.0586914957353437,0.211886247315732
known:OW982303.1_32813,0.955593301521853,13.7396257809454,3.89134805662986,0.0648252207492381,0.230129533659795
known:OW982294.1_44435,0.799252556038551,16.6465646606492,3.8308210030933,0.0667432093516243,0.233054157244196
novel:OW982291.1_4949,-1.65540059743567,5.76582201505537,3.77183273349713,0.0686764153267688,0.235138838871718
known:OW982309.1_35362,0.925747629887802,7.92298122308302,3.74586540079901,0.0695481072719166,0.235138838871718
known:OW982314.1_40990,1.04240253025918,12.8813041688598,3.68898866557662,0.0715029554642403,0.237970773654425
known:OW982294.1_44316,-0.895280980430317,13.6988122566123,3.51102985281996,0.0780480744103602,0.254805290237739
known:OW982300.1_28279,0.809934066124568,10.2019991085677,3.4877875004005,0.0789537519046516,0.254805290237739
novel:OW982305.1_26408,-1.64674776208668,5.39751016032649,3.44738795415057,0.080557521602868,0.256100777632998
known:OW982305.1_26500,-1.35406175299331,6.33163182392424,3.25661791234277,0.088668340244017,0.270890591625209
novel:OW982302.1_30840,2.05862071848703,5.14945724348688,3.23455421979243,0.0896671558932875,0.270890591625209
known:OW982301.1_30001,-0.801171371262967,9.66934847203181,3.23179216386735,0.0897931261943137,0.270890591625209
novel:OW982291.1_4950,-1.50896675255043,5.75845746449277,3.211498238783,0.0907251154960967,0.270890591625209
novel:OW982298.1_24470,1.61738105360789,6.26776650740404,3.18255063341609,0.0920743719801424,0.270890591625209
known:OW982310.1_37730,-1.07254307025945,7.18154012749407,3.16633732313896,0.0928404375053533,0.270890591625209
