genes,logFC,logCPM,F,PValue,FDR
known:OW982293.1_13826,4.47020886782119,13.9849547756399,1446.5819588036,5.17672000299773e-32,1.10264136063852e-29
known:OW982308.1_38879,4.22341542721295,12.3024372331131,763.397990626235,6.92278354553735e-27,7.37276447599728e-25
novel:OW982307.1_34694,2.19546219860192,12.2202744841562,364.342847931245,3.74475206494274e-21,2.65877396610934e-19
novel:OW982320.1_41385,2.83866480297551,9.61696528098316,204.973858494696,5.95850129801447e-17,3.17290194119271e-15
novel:OW982293.1_13890,-3.29389102290396,8.76780642923779,162.952156331144,2.28642896650641e-15,9.74018739731733e-14
known:OW982296.1_17568,1.43447918732365,12.0612771365944,160.582953181022,2.87173459073463e-15,1.01946577971079e-13
known:OW982315.1_40523,3.16079692878846,8.80020069969737,139.631434654602,2.4494834006837e-14,6.54038155359104e-13
known:OW982292.1_11552,1.24157039791574,15.9383111122769,139.605087585847,2.45648133468208e-14,6.54038155359104e-13
novel:OW982313.1_39729,-2.81317094619666,8.54742193649586,123.026666817788,1.61840206115741e-13,3.83021821140588e-12
known:OW982298.1_23475,2.0739116803659,9.15031011002057,100.265543257621,3.04614735732312e-12,6.09651581008471e-11
known:OW982302.1_30549,1.13780141104744,12.1302191086262,100.028812273644,3.14843539487943e-12,6.09651581008471e-11
known:OW982291.1_73,-1.56520241498256,9.46670207447914,81.5493253427307,5.03779762139741e-11,8.9420907779804e-10
known:OW982298.1_24494,-1.25768826129105,10.1084157963074,75.0443856169545,1.48449427328627e-10,2.43228677084596e-09
novel:OW982296.1_17269,2.39762766327658,8.2770348799625,73.283302544645,2.0107814766201e-10,3.05926038942915e-09
novel:OW982293.1_14451,-2.00062052987536,8.70344017342517,69.230785379542,4.11962808826436e-10,5.84987188533539e-09
novel:OW982320.1_41483,-2.07127487840791,8.58798425369028,67.9751163672895,5.17378408177578e-10,6.88760005886401e-09
novel:OW982299.1_26240,5.50537857870076,6.92222558032134,63.0041269408617,1.31104330617555e-09,1.64266014244348e-08
known:OW982298.1_23877,-1.97274993771158,8.35511311630235,61.4403617831948,1.7735637324346e-09,2.09871708338095e-08
known:OW982317.1_41916,-0.943807321732244,11.0278499733914,59.8013504414282,2.44721243639604e-09,2.74345394185451e-08
novel:OW982293.1_13427,-4.19281320309709,6.39104369161069,55.8419698775055,5.45228322873018e-09,5.80668163859764e-08
known:OW982291.1_6724,-0.826974306218104,10.9739389253428,43.3020172503851,8.85207183859558e-08,8.97853000771837e-07
known:OW982291.1_77,-1.05481704043412,9.69239170545259,43.0590086697337,9.3834383325845e-08,9.08487438563863e-07
known:OW982302.1_30394,1.23066808607544,9.18520215852208,40.5039404268218,1.75151054861641e-07,1.62205107328389e-06
known:OW982314.1_40988,-0.773524346455245,11.0585495921078,38.7740242366081,2.70505483682544e-07,2.40073616768258e-06
known:OW982300.1_28279,0.866053255219505,10.2019991085677,36.7324442251336,4.57851483511269e-07,3.90089463951601e-06
known:OW982294.1_44439,0.549918859519974,15.3454392946816,30.6411570428885,2.41865465776716e-06,1.98143631578618e-05
novel:OW982291.1_6827,3.32011635115576,6.17772587192223,30.4513614076259,2.55369309209621e-06,2.01458010598701e-05
known:OW982295.1_17122,0.711879374549752,10.5206934722556,26.8638352794075,7.3570310410741e-06,5.49464833093261e-05
