miRNA.ID,logCPM,logFC.38vs33,F.38vs33,PValue.38vs33,FDR.38vs33,logFC.43vs38,F.43vs38,PValue.43vs38,FDR.43vs38,logFC.43vs33,F.43vs33,PValue.43vs33,FDR.43vs33
known:CALPDS010000185.1_47481,11.1833769900248,-0.296037689080012,3.36326573835462,0.0881832561446183,0.275687983098139,0.00324886571334357,0.000704721495717632,0.979199119928521,0.98887543904644,-0.292788823366668,3.2888597157135,0.0914168063367954,0.169684619981312
known:CALPDS010000378.1_48005,17.0339612022332,-0.298374564496156,3.90226782685603,0.0684423790890132,0.244051114909508,-0.0710165719335516,0.381137607778158,0.546986263857974,0.724262482228956,-0.369391136429708,5.95623482713894,0.0286842409318103,0.0681879762501807
known:CALPDS010000378.1_48036,6.28390288449251,0.226890313865097,0.31201690215395,0.585340862498831,0.78919091411534,-0.58849999635389,3.43461891272996,0.0852107953552302,0.220765608388609,-0.361609682488794,0.736766167516242,0.405272176540194,0.560350815522411
known:OW982291.1_1658,12.9223664548872,0.160028507177288,0.718698801678664,0.410946383605981,0.674198606760187,-0.0696443860647129,0.23966027361424,0.63209473635293,0.796733365356484,0.0903841211125747,0.228137328881851,0.640339751779786,0.74477284434473
known:OW982291.1_2296,8.79731193861032,-0.0758969808948082,0.0792432043488409,0.782477186018902,0.913569405695632,-0.373516512271473,3.37130193366862,0.087842318739401,0.220765608388609,-0.449413493166281,2.7482951668546,0.119768694028512,0.214949113124018
known:OW982291.1_2298,9.5765164809084,-0.447151195321769,3.54271588284572,0.0809335078213358,0.26826198163058,-0.0855625506337866,0.222970732024947,0.644120706554097,0.803635290820962,-0.532713745955555,5.03562913235975,0.0416643359173375,0.0933143391206483
known:OW982291.1_2300,14.639516329174,-0.00266408062228771,0.00025423788036535,0.987505236723686,0.987505236723686,-0.154686285734152,1.49644015957113,0.24157473555406,0.4610334741912,-0.15735036635644,0.887490933182608,0.362260580600132,0.513992760956209
known:OW982291.1_2498,8.93771253260216,-0.212986367998035,0.977581615701596,0.339713500937022,0.610184585803273,-0.179786991512344,1.2324623570597,0.285784392118918,0.496458783745043,-0.392773359510379,3.34970206876894,0.0887623165279322,0.16589370882117
known:OW982291.1_2499,12.4335949919147,-0.690597101670917,9.41746845435105,0.00840032899837723,0.0734351341471042,0.264978862773439,2.41320456106656,0.142806053081168,0.319483198811519,-0.425618238897479,3.68845067279319,0.075566949849867,0.146066222416392
known:OW982291.1_3058,7.02210786211576,-1.16192143136222,11.1519239841839,0.0049135621831754,0.0532630140656213,-0.227009105471533,0.7038165655663,0.415713907221979,0.622410924855871,-1.38893053683376,17.2262375725103,0.000997083631034974,0.00491290298200869
known:OW982291.1_4863,7.1603275229073,0.747069064897621,3.99362088075565,0.0656443210144531,0.244051114909508,0.396935671539494,2.32288560085791,0.149930985624613,0.32505037683416,1.14400473643712,9.93312700698435,0.00712888077218896,0.0227285492854495
known:OW982291.1_494,12.6714320405465,-0.0959651738322086,0.387354106822865,0.543779167731175,0.776800740847729,0.140418990539932,1.46539668186669,0.246276435792482,0.46671967901932,0.0444538167077238,0.0844015429996644,0.775712657483437,0.861549713844309
known:OW982291.1_6720,12.3608758020397,0.0311031425537135,0.0183895126040798,0.894077495579492,0.967345317397203,0.0176179532905189,0.010457776624646,0.920009828707419,0.968629678777313,0.0487210958442324,0.0455826530242294,0.834039251297888,0.889860775991054
known:OW982291.1_6721,8.50038403711605,0.180675785547973,0.471835250400193,0.503455189050528,0.746450793990523,0.0789382347183279,0.173903895348705,0.683040676822927,0.834560371028157,0.259614020266301,0.992567569362826,0.336161187386689,0.483374996562548
known:OW982291.1_6724,11.5298362599903,0.606130705215373,4.26685161983921,0.05805170816563,0.231353131071849,0.435726275560486,4.15055047083892,0.0611486769538286,0.179163191981319,1.04185698077586,13.4189940243793,0.00258907389323843,0.0107944465395018
known:OW982291.1_6727,12.7249640661753,-0.0242866977087617,0.00851229326743753,0.927807691597469,0.967345317397203,-0.00366899791727709,0.000345737362729436,0.985429516586353,0.989079255536673,-0.0279556956260388,0.0116274393679715,0.915672657510041,0.939951856762201
known:OW982291.1_6991,11.2051210746406,-0.219352658981482,1.30217464367398,0.273115293247801,0.544222385809956,0.30725803919991,4.55782950254247,0.0510824921514776,0.159119027276442,0.0879053802184282,0.21628430966329,0.649095062345566,0.751729751690805
known:OW982291.1_6993,9.00293205057677,0.700316385995374,6.08802946041652,0.0272430655487405,0.145825593786376,0.309958157496385,2.39206516314022,0.144435330604742,0.319483198811519,1.01027454349176,12.8777816232887,0.00300029766363894,0.011783777780379
