# Program:featureCounts v2.0.3; Command:"/home/reedkm/shared/RIS_Projects/Software/subread-2.0.3-Linux-x86_64/bin/featureCounts" "-Q" "10" "-s" "1" "-T" "12" "-F" "SAF" "-a" "/home/reedkm/shared/RIS_Projects/Reed_Project_016/miRNA_Expression/Turkey_miRNAs_NewGenome.saf" "-M" "-O" "-o" "/home/reedkm/shared/RIS_Projects/Reed_Project_016/miRNA_Expression/Counts/miRNA_Expression.bt.NewGenome.txt" "NCT_48_38_33_101_smRNA_S34" "NCT_48_38_33_102_smRNA_S35" "NCT_48_38_38_61_smRNA_S45" "NCT_48_38_38_62_smRNA_S46" "NCT_48_38_38_R_smRNA_S37" "NCT_48_38_43_51_smRNA_S32" "NCT_48_38_43_52_smRNA_S33" "NCT_72_33_32_smRNA_S31" "NCT_72_33_53_smRNA_S44" "NCT_72_38_71_smRNA_S47" "NCT_72_38_73_smRNA_S48" "NCT_72_38_R_smRNA_S36" "NCT_72_43_21_smRNA_S29" "NCT_72_43_22_smRNA_S30" "RBC2_48_38_33_101_smRNA_S27" "RBC2_48_38_33_102_smRNA_S28" "RBC2_48_38_38_12_smRNA_S38" "RBC2_48_38_38_14_smRNA_S39" "RBC2_48_38_43_22_smRNA_S40" "RBC2_48_38_43_24_smRNA_S41" "RBC2_72_38_11_smRNA_S25" "RBC2_72_38_12_smRNA_S26" "RBC2_72_43_41_smRNA_S42" "RBC2_72_43_42_smRNA_S43" 
Geneid	Chr	Start	End	Strand	Length	NCT_48_38_33_101_smRNA_S34	NCT_48_38_33_102_smRNA_S35	NCT_48_38_38_61_smRNA_S45	NCT_48_38_38_62_smRNA_S46	NCT_48_38_38_R_smRNA_S37	NCT_48_38_43_51_smRNA_S32	NCT_48_38_43_52_smRNA_S33	NCT_72_33_32_smRNA_S31	NCT_72_33_53_smRNA_S44	NCT_72_38_71_smRNA_S47	NCT_72_38_73_smRNA_S48	NCT_72_38_R_smRNA_S36	NCT_72_43_21_smRNA_S29	NCT_72_43_22_smRNA_S30	RBC2_48_38_33_101_smRNA_S27	RBC2_48_38_33_102_smRNA_S28	RBC2_48_38_38_12_smRNA_S38	RBC2_48_38_38_14_smRNA_S39	RBC2_48_38_43_22_smRNA_S40	RBC2_48_38_43_24_smRNA_S41	RBC2_72_38_11_smRNA_S25	RBC2_72_38_12_smRNA_S26	RBC2_72_43_41_smRNA_S42	RBC2_72_43_42_smRNA_S43
novel:CALPDS010000116.1_47237	CALPDS010000116.1	38756	38812	+	57	2	2	5	7	1	5	3	6	6	24	10	0	7	16	6	11	9	12	12	12	11	12	11	9
known:CALPDS010000185.1_47481	CALPDS010000185.1	111967	112028	+	62	228	259	251	289	1	1282	390	412	672	519	460	0	564	587	236	341	357	444	558	430	611	699	659	670
known:CALPDS010000378.1_48005	CALPDS010000378.1	881854	881911	+	58	20824	22259	24056	22735	562	35334	32026	35713	43636	42751	30502	432	39632	41346	9769	14243	20302	27175	24507	18819	22661	25686	23458	23678
known:CALPDS010000378.1_48036	CALPDS010000378.1	892526	892590	-	65	9	15	12	10	0	8	8	13	22	27	25	0	16	14	7	5	10	17	8	5	13	17	12	16
novel:OW982291.1_4098	OW982291.1	1478934	1479002	-	69	0	0	3	1	0	11	5	5	8	0	4	0	2	2	2	1	2	7	2	3	7	6	3	4
known:OW982291.1_4101	OW982291.1	1617326	1617384	-	59	0	0	1	0	0	19	4	2	0	0	0	0	0	0	0	1	0	0	23	12	0	0	0	0
novel:OW982291.1_54	OW982291.1	2883045	2883089	+	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
known:OW982291.1_73	OW982291.1	3735985	3736045	+	61	116	134	88	74	1	123	78	270	519	397	381	1	183	228	141	222	159	204	121	86	363	430	288	289
known:OW982291.1_77	OW982291.1	3736996	3737054	+	59	128	109	60	169	0	45	105	195	222	230	398	3	339	174	152	248	207	325	196	130	390	540	354	276
novel:OW982291.1_87	OW982291.1	4421623	4421683	+	61	1	2	1	1	0	1	2	1	7	2	1	0	0	0	5	7	2	4	2	0	4	2	0	0
novel:OW982291.1_97	OW982291.1	4547434	4547484	+	51	0	0	0	0	0	0	0	34	18	0	2	0	2	6	0	1	0	0	0	0	13	13	2	7
novel:OW982291.1_4262	OW982291.1	15373204	15373243	-	40	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	1	0	0	0	0	5	2	0	0
novel:OW982291.1_396	OW982291.1	22747720	22747804	+	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
known:OW982291.1_494	OW982291.1	32776510	32776587	+	78	1021	1104	963	1203	10	3410	1883	1049	1575	1185	1446	2	1764	1915	938	1405	1552	1736	2609	2086	1729	2045	1931	1954
