# Program:featureCounts v2.0.3; Command:"/home/reedkm/shared/RIS_Projects/Software/subread-2.0.3-Linux-x86_64/bin/featureCounts" "-Q" "10" "-s" "1" "-T" "12" "-F" "SAF" "-a" "/home/reedkm/shared/RIS_Projects/Reed_Project_016/miRNA_Expression/Turkey_miRNAs.saf" "-M" "-O" "-o" "/home/reedkm/shared/RIS_Projects/Reed_Project_016/miRNA_Expression/Counts/miRNA_Expression.bt.txt" "NCT_48_38_33_101_smRNA_S34" "NCT_48_38_33_102_smRNA_S35" "NCT_48_38_38_61_smRNA_S45" "NCT_48_38_38_62_smRNA_S46" "NCT_48_38_38_R_smRNA_S37" "NCT_48_38_43_51_smRNA_S32" "NCT_48_38_43_52_smRNA_S33" "NCT_72_33_32_smRNA_S31" "NCT_72_33_53_smRNA_S44" "NCT_72_38_71_smRNA_S47" "NCT_72_38_73_smRNA_S48" "NCT_72_38_R_smRNA_S36" "NCT_72_43_21_smRNA_S29" "NCT_72_43_22_smRNA_S30" "RBC2_48_38_33_101_smRNA_S27" "RBC2_48_38_33_102_smRNA_S28" "RBC2_48_38_38_12_smRNA_S38" "RBC2_48_38_38_14_smRNA_S39" "RBC2_48_38_43_22_smRNA_S40" "RBC2_48_38_43_24_smRNA_S41" "RBC2_72_38_11_smRNA_S25" "RBC2_72_38_12_smRNA_S26" "RBC2_72_43_41_smRNA_S42" "RBC2_72_43_42_smRNA_S43" 
Geneid	Chr	Start	End	Strand	Length	NCT_48_38_33_101_smRNA_S34	NCT_48_38_33_102_smRNA_S35	NCT_48_38_38_61_smRNA_S45	NCT_48_38_38_62_smRNA_S46	NCT_48_38_38_R_smRNA_S37	NCT_48_38_43_51_smRNA_S32	NCT_48_38_43_52_smRNA_S33	NCT_72_33_32_smRNA_S31	NCT_72_33_53_smRNA_S44	NCT_72_38_71_smRNA_S47	NCT_72_38_73_smRNA_S48	NCT_72_38_R_smRNA_S36	NCT_72_43_21_smRNA_S29	NCT_72_43_22_smRNA_S30	RBC2_48_38_33_101_smRNA_S27	RBC2_48_38_33_102_smRNA_S28	RBC2_48_38_38_12_smRNA_S38	RBC2_48_38_38_14_smRNA_S39	RBC2_48_38_43_22_smRNA_S40	RBC2_48_38_43_24_smRNA_S41	RBC2_72_38_11_smRNA_S25	RBC2_72_38_12_smRNA_S26	RBC2_72_43_41_smRNA_S42	RBC2_72_43_42_smRNA_S43
novel:1_3760	1	1220640	1220708	-	69	0	0	3	1	0	11	5	5	8	0	4	0	2	2	2	1	2	7	2	3	7	6	3	4
known:1_3761	1	1358425	1358483	-	59	0	0	1	0	0	19	4	2	0	0	0	0	0	0	0	1	0	0	24	12	0	0	0	0
novel:1_3764	1	1436169	1436246	-	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:1_49	1	2330667	2330708	+	42	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:1_52	1	2628402	2628446	+	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
known:1_61	1	3159077	3159137	+	61	116	134	88	74	1	123	78	270	519	397	381	1	183	228	140	221	159	203	121	86	362	430	289	289
known:1_65	1	3160088	3160146	+	59	128	110	60	169	0	45	105	196	222	231	396	3	340	174	151	249	207	324	197	130	392	542	354	274
novel:1_85	1	4152306	4152366	+	61	1	2	1	1	0	1	2	1	7	2	1	0	0	0	5	7	2	4	2	0	4	2	0	0
novel:1_351	1	24081583	24081619	+	37	3	4	3	1	0	0	0	28	22	7	9	0	3	0	6	3	6	5	6	4	15	16	1	0
known:1_430	1	32547901	32547978	+	78	1021	1104	963	1203	10	3410	1883	1051	1576	1185	1446	2	1764	1915	938	1405	1552	1736	2609	2086	1729	2045	1931	1953
known:1_732	1	44631121	44631180	+	60	1	0	0	1	0	0	3	3	2	2	4	0	4	3	1	2	4	4	8	6	2	4	6	7
known:1_4467	1	47776614	47776673	-	60	22	20	7	38	1	31	29	11	27	24	38	7	58	58	15	18	19	11	28	17	25	35	35	30
novel:1_4510	1	48183931	48183991	-	61	3	2	0	3	0	2	4	8	4	0	1	0	2	0	4	6	2	0	4	1	5	3	1	1
novel:1_4545	1	48906293	48906353	-	61	12	6	14	9	2	4	5	16	39	42	35	0	22	18	2	4	8	10	17	11	16	22	15	19
novel:1_4546	1	48906335	48906388	-	54	12	6	15	9	2	4	6	15	39	40	34	0	22	18	2	4	7	10	16	10	16	25	15	18
novel:1_1361	1	63924699	63924764	+	66	1	1	2	3	0	2	9	0	12	2	14	0	21	15	2	3	6	5	11	8	6	4	21	13
