# Program:featureCounts v2.0.3; Command:"/home/reedkm/shared/RIS_Projects/Software/subread-2.0.3-Linux-x86_64/bin/featureCounts" "-Q" "10" "-s" "1" "-T" "12" "-F" "SAF" "-a" "/home/reedkm/shared/RIS_Projects/Reed_Project_016/miRNA_Expression/Turkey_miRNAs.saf" "-M" "-O" "-o" "/home/reedkm/shared/RIS_Projects/Reed_Project_016/miRNA_Expression/Counts/miRNA_Expression.txt" "NCT_48_38_33_101_smRNA_S34" "NCT_48_38_33_102_smRNA_S35" "NCT_48_38_38_61_smRNA_S45" "NCT_48_38_38_62_smRNA_S46" "NCT_48_38_38_R_smRNA_S37" "NCT_48_38_43_51_smRNA_S32" "NCT_48_38_43_52_smRNA_S33" "NCT_72_33_32_smRNA_S31" "NCT_72_33_53_smRNA_S44" "NCT_72_38_71_smRNA_S47" "NCT_72_38_73_smRNA_S48" "NCT_72_38_R_smRNA_S36" "NCT_72_43_21_smRNA_S29" "NCT_72_43_22_smRNA_S30" "RBC2_48_38_33_101_smRNA_S27" "RBC2_48_38_33_102_smRNA_S28" "RBC2_48_38_38_12_smRNA_S38" "RBC2_48_38_38_14_smRNA_S39" "RBC2_48_38_43_22_smRNA_S40" "RBC2_48_38_43_24_smRNA_S41" "RBC2_72_38_11_smRNA_S25" "RBC2_72_38_12_smRNA_S26" "RBC2_72_43_41_smRNA_S42" "RBC2_72_43_42_smRNA_S43" 
Geneid	Chr	Start	End	Strand	Length	NCT_48_38_33_101_smRNA_S34	NCT_48_38_33_102_smRNA_S35	NCT_48_38_38_61_smRNA_S45	NCT_48_38_38_62_smRNA_S46	NCT_48_38_38_R_smRNA_S37	NCT_48_38_43_51_smRNA_S32	NCT_48_38_43_52_smRNA_S33	NCT_72_33_32_smRNA_S31	NCT_72_33_53_smRNA_S44	NCT_72_38_71_smRNA_S47	NCT_72_38_73_smRNA_S48	NCT_72_38_R_smRNA_S36	NCT_72_43_21_smRNA_S29	NCT_72_43_22_smRNA_S30	RBC2_48_38_33_101_smRNA_S27	RBC2_48_38_33_102_smRNA_S28	RBC2_48_38_38_12_smRNA_S38	RBC2_48_38_38_14_smRNA_S39	RBC2_48_38_43_22_smRNA_S40	RBC2_48_38_43_24_smRNA_S41	RBC2_72_38_11_smRNA_S25	RBC2_72_38_12_smRNA_S26	RBC2_72_43_41_smRNA_S42	RBC2_72_43_42_smRNA_S43
novel:1_3760	1	1220640	1220708	-	69	0	0	3	1	0	11	5	1	5	0	3	0	2	1	2	1	2	7	2	3	4	5	3	2
known:1_3761	1	1358425	1358483	-	59	0	0	1	0	0	19	4	2	0	0	0	0	0	0	0	1	0	0	24	13	0	0	0	0
novel:1_3764	1	1436169	1436246	-	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:1_49	1	2330667	2330708	+	42	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:1_52	1	2628402	2628446	+	45	3	2	4	2	0	2	0	13	2	5	5	0	3	4	2	1	2	3	1	6	8	12	8	6
known:1_61	1	3159077	3159137	+	61	82	89	64	40	1	86	50	184	365	253	194	1	60	108	85	127	83	120	45	41	186	230	95	111
known:1_65	1	3160088	3160146	+	59	25	11	5	21	0	16	12	31	39	20	66	0	26	23	7	31	30	23	21	23	56	67	42	35
novel:1_85	1	4152306	4152366	+	61	1	2	1	1	0	1	2	1	7	2	1	0	0	0	5	7	2	4	2	0	4	2	0	0
novel:1_351	1	24081583	24081619	+	37	2	2	2	0	0	1	1	20	19	12	12	0	1	1	0	1	1	2	1	1	10	14	1	1
known:1_430	1	32547901	32547978	+	78	1057	1163	1010	1259	10	3541	1986	1082	1642	1233	1518	2	1839	2016	978	1480	1634	1823	2756	2214	1797	2144	2053	2056
known:1_732	1	44631121	44631180	+	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
known:1_4467	1	47776614	47776673	-	60	2	2	1	2	1	2	3	1	5	1	2	6	3	4	3	0	3	1	2	1	2	1	5	0
novel:1_4510	1	48183931	48183991	-	61	3	2	0	3	0	2	4	7	4	0	2	0	2	0	4	6	2	0	4	1	5	3	1	1
novel:1_4545	1	48906293	48906353	-	61	13	7	14	9	2	5	7	16	40	42	35	0	23	18	2	4	8	11	17	12	17	22	16	21
novel:1_4546	1	48906335	48906388	-	54	13	7	14	9	2	5	8	15	40	40	34	0	22	18	2	4	7	11	16	11	17	25	16	20
novel:1_1361	1	63924699	63924764	+	66	1	2	2	3	0	4	8	0	12	2	14	0	21	15	2	3	6	5	11	8	6	4	21	13
known:1_1462	1	68052127	68052198	+	72	1	2	2	4	6	1	3	10	19	1	2	1	4	2	1	3	0	2	1	2	1	6	8	2
novel:1_4996	1	72009275	72009325	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:1_5238	1	88957311	88957386	-	76	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0
known:1_2054	1	96778655	96778713	+	59	62	59	48	71	0	49	116	86	114	84	140	0	125	69	57	99	111	103	162	104	113	154	122	97
known:1_2056	1	96779396	96779462	+	67	939	1149	1308	1082	17	4743	1452	1445	2287	2207	1510	16	1474	1717	1119	1412	1534	2086	2400	1773	1662	1861	1439	1543
known:1_2058	1	96811732	96811792	+	61	6	1	4	9	0	8	5	28	12	13	23	0	20	7	7	14	10	10	9	12	16	10	11	6
novel:1_2132	1	102980799	102980863	+	65	125	110	105	110	245	108	83	13	7	25	25	44	54	51	92	119	116	109	111	87	33	69	27	35
novel:1_2183	1	103632024	103632067	+	44	0	0	1	1	0	3	3	14	5	5	0	0	7	6	2	0	1	1	5	1	6	11	3	6
known:1_2316	1	107699261	107699323	+	63	27	35	8	30	0	185	49	79	155	101	113	0	101	119	34	39	48	41	61	26	142	154	129	129
known:1_2317	1	107699778	107699833	+	56	326	402	170	329	1	296	470	1419	1358	687	1159	3	1626	1279	408	549	531	531	847	399	1278	1633	1521	1603
novel:1_2352	1	108832901	108832946	+	46	10	17	13	18	2	41	8	6	2	3	6	1	12	10	2	2	3	8	6	2	1	0	3	0
novel:1_5563	1	109461374	109461413	-	40	0	0	1	5	0	1	0	1	0	5	3	0	2	2	0	0	1	0	4	1	1	3	2	0
novel:1_5653	1	115239780	115239839	-	60	1	0	0	1	0	2	2	3	4	3	5	0	4	6	1	0	2	0	3	4	0	2	1	1
novel:1_5658	1	115434730	115434777	-	48	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	3	3	0	1
novel:1_5705	1	117952641	117952691	-	51	14	10	20	7	0	5	12	21	18	19	33	2	19	24	13	12	14	24	26	16	23	29	25	40
known:1_2798	1	129979927	129979981	+	55	8	5	7	4	2	7	14	37	51	19	16	3	26	27	16	18	21	19	34	26	32	49	26	22
known:1_6046	1	144109298	144109357	-	60	0	0	0	0	2	0	0	11	2	2	1	10	0	1	0	0	0	0	0	0	2	1	0	0
known:1_6047	1	144109430	144109488	-	59	39	32	18	71	2	20	62	46	67	56	89	19	115	79	51	87	62	50	98	63	99	136	113	128
known:1_6050	1	144109604	144109660	-	57	188	192	110	269	2	248	282	204	382	315	562	4	1017	622	296	361	256	285	487	339	515	753	703	685
known:1_6053	1	144109896	144109953	-	58	204	209	97	276	5	197	324	416	311	210	496	1	584	388	179	310	316	270	472	258	510	654	552	560
novel:1_3093	1	149859408	149859461	+	54	0	3	0	0	1	3	3	59	39	6	17	2	11	9	0	0	2	4	6	5	25	52	11	17
novel:1_3121	1	150055287	150055327	+	41	2	0	0	1	0	1	3	2	0	2	4	0	0	0	0	0	1	0	0	0	1	0	3	1
novel:1_3122	1	150055307	150055367	+	61	2	0	0	1	0	1	3	2	0	2	4	0	0	0	0	0	1	0	0	0	1	0	3	1
known:1_6193	1	161574342	161574402	-	61	0	1	0	0	0	1	0	0	0	1	2	1	3	2	6	2	1	0	0	0	3	1	0	5
known:1_6195	1	161574486	161574543	-	58	60	49	37	84	1	57	80	55	71	79	135	2	208	137	77	106	111	102	156	95	109	162	188	134
novel:1_3482	1	174796935	174796990	+	56	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:1_3487	1	174881025	174881085	+	61	0	1	1	1	0	7	0	0	0	0	0	0	1	0	1	0	0	1	2	5	0	0	0	0
novel:1_3500	1	176332465	176332540	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:1_6504	1	181996823	181996886	-	64	1	0	4	5	0	43	11	0	0	1	0	1	4	8	0	1	4	3	17	19	1	3	12	17
novel:2_8948	2	6331755	6331801	-	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
novel:2_6808	2	6943547	6943630	+	84	0	0	0	1	0	5	1	0	1	10	3	4	1	1	0	1	0	1	5	2	8	9	6	2
novel:2_6995	2	15608695	15608777	+	83	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:2_9340	2	24290307	24290376	-	70	1	1	1	3	4	1	0	9	9	4	9	18	2	2	0	3	2	3	4	1	12	10	10	9
novel:2_7435	2	32729356	32729407	+	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:2_9606	2	32749114	32749180	-	67	24	34	16	26	0	45	25	20	12	15	19	0	16	24	13	14	28	32	58	22	10	24	18	10
novel:2_7849	2	58332338	58332400	+	63	7	12	2	11	0	18	6	30	62	58	36	13	10	6	9	22	16	13	9	4	62	74	14	20
